TIME,LAT,LON,PREC
19980101.0,-88.75,1.25,9.2625
19980101.0,-88.75,3.75,14.4225
19980101.0,-88.75,6.25,11.6475
19980101.0,-88.75,8.75,14.7225
19980101.0,-88.75,11.25,7.6649995
19980101.0,-88.75,13.75,2.3324997
19980101.0,-88.75,16.25,5.5424995
19980101.0,-88.75,18.75,0.7649999
19980101.0,-88.75,21.25,1.56
19980101.0,-88.75,23.75,0.585
19980101.0,-88.75,26.25,0.037499987
19980101.0,-88.75,28.75,0.0
19980101.0,-88.75,31.25,0.0
19980101.0,-88.75,33.75,0.0
19980101.0,-88.75,36.25,0.0
19980101.0,-88.75,38.75,0.0
19980101.0,-88.75,41.25,0.0
19980101.0,-88.75,43.75,0.0
19980101.0,-88.75,46.25,0.0
19980101.0,-88.75,48.75,0.0
19980101.0,-88.75,51.25,0.0
19980101.0,-88.75,53.75,0.18
19980101.0,-88.75,56.25,0.0
19980101.0,-88.75,58.75,0.0
19980101.0,-88.75,61.25,0.15
19980101.0,-88.75,63.75,0.765
19980101.0,-88.75,66.25,0.0
19980101.0,-88.75,68.75,0.0
19980101.0,-88.75,71.25,0.0
19980101.0,-88.75,73.75,0.0
19980101.0,-88.75,76.25,3.4875
19980101.0,-88.75,78.75,0.052499983
19980101.0,-88.75,81.25,0.0
19980101.0,-88.75,83.75,0.2325
19980101.0,-88.75,86.25,0.54
19980101.0,-88.75,88.75,0.44250005
19980101.0,-88.75,91.25,0.4125
19980101.0,-88.75,93.75,0.014999995
19980101.0,-88.75,96.25,0.44250003
19980101.0,-88.75,98.75,0.05249998
19980101.0,-88.75,101.25,0.135
19980101.0,-88.75,103.75,0.022500006
19980101.0,-88.75,106.25,0.022499992
19980101.0,-88.75,108.75,0.0
19980101.0,-88.75,111.25,0.0
19980101.0,-88.75,113.75,0.022499997
19980101.0,-88.75,116.25,0.0
19980101.0,-88.75,118.75,0.18000002
19980101.0,-88.75,121.25,0.08250002
19980101.0,-88.75,123.75,0.0
19980101.0,-88.75,126.25,0.0
19980101.0,-88.75,128.75,0.0
19980101.0,-88.75,131.25,0.0
19980101.0,-88.75,133.75,0.0
19980101.0,-88.75,136.25,0.0
19980101.0,-88.75,138.75,0.0
19980101.0,-88.75,141.25,0.0
19980101.0,-88.75,143.75,0.0
19980101.0,-88.75,146.25,0.0
19980101.0,-88.75,148.75,0.10499998
19980101.0,-88.75,151.25,0.975
19980101.0,-88.75,153.75,1.9725
